weight_grams,diameter_cm,sweetness_score,color_score,fruit_type
178.1,8.05,5.9,7.4,orange
157.5,7.88,5.0,7.1,apple
112.8,3.74,8.0,10.0,banana
132.1,7.15,5.5,7.1,apple
118.4,3.98,7.2,8.6,banana
159.5,8.61,3.8,6.0,orange
174.3,8.47,5.8,6.7,orange
205.1,7.92,4.2,6.2,orange
171.9,6.83,5.7,5.3,apple
105.9,3.88,7.2,7.9,banana
163.4,7.69,3.9,6.9,apple
150.2,7.46,3.9,7.2,orange
180.9,8.41,4.8,4.5,orange
128.2,3.89,7.8,8.2,banana
159.7,7.27,5.0,4.8,orange
166.5,8.46,3.9,6.9,orange
156.1,6.78,4.7,7.3,apple
159.8,7.26,5.4,8.1,apple
151.2,7.71,4.7,5.8,orange
108.1,3.29,8.4,8.9,banana
160.1,7.13,6.0,7.9,apple
158.2,7.64,6.5,7.2,apple
114.0,3.73,7.1,7.6,banana
161.1,7.43,2.6,7.8,orange
172.5,7.03,6.6,7.0,apple
156.3,8.75,5.6,5.4,orange
125.3,3.55,8.0,10.0,banana
102.8,3.64,6.5,9.1,banana
136.7,8.06,6.1,6.1,apple
121.7,3.24,8.4,9.0,banana
172.9,7.37,4.7,7.5,apple
146.4,6.88,6.5,6.0,apple
129.4,3.46,8.7,6.4,banana
120.1,3.82,7.1,7.4,banana
128.7,4.25,7.8,7.1,banana
155.3,8.64,4.0,6.4,orange
150.5,7.7,4.6,5.1,apple
132.7,3.63,8.5,7.6,banana
145.4,8.36,7.0,7.1,apple
121.1,3.78,7.4,7.1,banana
178.1,7.8,3.7,8.2,orange
170.6,7.65,5.8,5.4,orange
138.7,8.81,4.8,6.8,orange
101.6,2.95,8.8,10.0,banana
129.5,2.94,7.1,8.5,banana
155.0,7.83,4.2,5.9,orange
123.8,3.19,7.8,8.8,banana
108.7,3.08,8.3,8.2,banana
144.5,7.04,7.2,7.8,apple
123.2,3.42,7.6,8.8,banana
154.1,7.18,5.8,6.1,apple
156.5,8.65,5.1,5.0,orange
172.5,7.09,6.0,7.7,apple
178.9,7.03,6.0,4.8,orange
175.8,8.64,3.4,8.0,orange
126.5,3.4,7.1,8.2,banana
156.9,8.12,6.8,6.3,orange
166.7,8.45,3.9,5.3,orange
184.2,7.81,3.0,6.7,orange
121.4,3.72,8.2,7.7,banana
144.2,7.82,5.8,5.9,apple
171.9,8.09,6.7,8.2,orange
173.6,8.68,4.6,6.2,orange
204.1,8.27,4.9,6.5,orange
118.7,3.22,9.0,8.8,banana
163.4,8.47,6.0,5.7,orange
116.1,4.0,8.9,7.5,banana
139.9,6.47,5.6,5.1,apple
125.9,3.18,8.5,7.8,banana
145.5,6.82,6.5,6.9,apple
156.6,8.95,3.5,4.4,orange
182.6,6.95,3.8,5.8,orange
135.7,2.97,8.9,7.1,banana
112.5,3.52,8.2,7.9,banana
147.1,7.56,6.8,3.3,apple
183.6,8.79,5.4,5.9,orange
149.3,7.46,5.0,7.7,apple
102.4,3.9,7.4,7.6,banana
148.5,8.43,4.2,6.4,apple
170.1,8.66,3.5,7.4,orange
147.1,6.84,3.7,7.0,apple
142.9,7.57,5.4,8.3,apple
178.7,7.51,5.8,10.0,apple
115.8,3.94,8.5,6.8,banana
117.2,4.07,8.8,9.2,banana
186.7,7.66,4.7,4.3,orange
121.4,7.71,6.8,8.2,apple
134.2,3.7,8.0,8.2,banana
118.0,3.6,6.8,8.0,banana
132.3,7.09,6.6,4.3,apple
131.9,7.54,7.1,7.5,apple
162.6,7.14,5.9,9.1,apple
115.6,3.6,8.5,7.4,banana
147.4,7.65,5.7,5.6,apple
152.6,8.25,5.5,6.2,orange
157.7,9.03,7.4,4.8,orange
162.2,8.33,4.3,6.1,orange
111.3,3.25,8.1,6.9,banana
199.1,8.02,4.2,5.7,orange
144.9,7.97,7.7,8.9,apple
114.8,3.88,7.5,7.3,banana
155.7,7.36,7.3,7.5,apple
198.0,8.44,4.1,7.0,orange
130.2,3.43,8.5,8.9,banana
180.0,8.76,4.5,7.3,orange
115.5,3.54,9.2,6.8,banana
167.4,7.6,6.4,5.0,orange
111.8,3.58,6.9,7.9,banana
148.1,8.84,4.7,6.2,orange
128.2,7.59,5.4,6.3,apple
123.7,7.58,6.8,8.7,apple
156.9,7.96,4.2,5.4,orange
115.2,3.4,8.8,8.1,banana
104.6,4.07,8.3,7.6,banana
115.9,3.3,7.2,8.6,banana
102.9,3.29,7.9,7.7,banana
160.0,8.07,6.9,6.8,apple
149.0,7.31,2.6,5.3,orange
163.0,7.82,6.0,7.6,apple
165.3,8.36,5.6,5.5,apple
165.7,7.98,6.0,7.9,apple
115.7,7.68,5.3,8.4,apple
123.5,3.28,8.6,6.1,banana
151.5,7.4,5.8,6.8,apple
178.1,8.69,3.9,5.3,orange
148.6,8.1,6.0,6.8,apple
166.2,8.63,5.6,6.5,orange
118.3,3.85,8.5,7.0,banana
182.3,8.23,5.7,6.1,orange
176.1,8.48,3.8,6.5,orange
166.1,7.32,5.5,7.3,apple
143.0,7.69,7.0,6.8,apple
142.8,3.67,8.6,7.7,banana
146.1,7.78,5.7,7.4,apple
159.0,7.27,5.8,5.2,apple
195.0,8.03,5.7,4.5,orange
149.2,8.53,7.0,8.2,apple
119.0,6.96,6.4,7.4,apple
183.9,6.54,7.8,7.0,apple
163.2,7.88,5.9,6.2,orange
105.8,3.28,7.9,6.5,banana
112.3,3.16,9.3,7.0,banana
130.8,3.35,7.2,7.1,banana
123.0,7.24,4.8,6.3,apple
147.2,7.62,6.5,7.9,orange
125.2,7.24,7.0,6.2,apple
161.0,7.78,5.6,8.4,apple
174.2,7.77,4.6,6.1,orange
126.3,3.12,7.9,7.3,banana
126.4,2.94,7.6,5.7,banana
175.5,6.75,6.4,7.3,apple
156.2,7.65,4.2,6.6,apple
156.5,7.97,5.6,4.9,orange
165.9,7.11,5.4,7.3,orange
183.7,7.26,6.3,6.7,orange
147.3,7.75,4.1,5.7,apple
122.3,3.89,8.1,8.0,banana
115.0,3.55,9.3,9.3,banana
112.6,3.49,7.5,8.0,banana
142.8,7.56,6.1,5.8,orange
103.4,4.0,8.6,7.5,banana
153.6,6.6,5.8,9.4,apple
128.5,6.72,5.5,4.2,apple
161.1,8.61,5.8,6.2,orange
116.3,3.16,9.6,7.5,banana
141.1,6.57,5.9,5.2,apple
112.0,3.12,7.9,6.1,banana
175.3,7.77,4.0,6.9,orange
198.6,9.41,4.9,7.2,orange
216.7,7.59,6.6,6.1,orange
161.6,7.9,5.2,6.4,orange
169.7,7.77,6.5,7.2,orange
169.5,7.87,4.9,6.8,apple
132.9,3.64,7.0,8.7,banana
100.6,3.65,7.1,8.6,banana
131.6,7.82,4.6,5.6,orange
142.1,6.73,4.6,6.1,apple
153.3,8.2,6.2,6.8,orange
150.0,7.22,6.8,6.8,apple
151.9,7.29,6.0,6.3,apple
185.4,7.41,4.6,5.2,orange
115.5,3.19,7.6,7.5,banana
181.9,8.64,4.5,7.0,orange
136.0,3.11,8.9,7.7,banana
103.8,3.44,9.3,8.3,banana
125.8,3.55,8.5,9.1,banana
170.0,8.02,5.2,5.6,orange
144.2,7.74,7.5,6.2,apple
143.9,7.74,6.7,5.0,apple
167.7,8.91,4.3,7.0,orange
117.1,3.68,6.8,6.7,banana
132.9,3.46,7.5,8.1,banana
119.3,3.96,8.0,7.8,banana
110.3,3.14,7.2,8.9,banana
191.6,7.91,3.2,6.4,orange
133.2,8.39,6.3,6.6,orange
112.6,3.11,7.9,6.7,banana
121.2,3.77,8.3,9.6,banana
161.8,8.61,3.7,5.9,orange
126.8,3.91,7.5,7.3,banana
143.8,7.64,6.7,6.7,apple
123.3,7.83,6.9,7.6,apple
114.9,3.35,8.2,8.3,banana
86.1,2.92,7.5,7.5,banana
130.9,3.58,7.9,6.0,banana
145.1,7.69,6.3,6.8,apple
188.0,7.46,5.4,7.2,orange
170.9,8.45,6.5,6.1,orange
160.5,8.02,6.7,6.2,orange
148.0,8.05,6.1,6.9,apple
171.7,7.78,5.9,7.5,orange
138.7,6.94,6.0,6.2,apple
183.0,8.36,4.4,3.8,orange
154.0,7.36,5.9,9.0,apple
140.1,6.58,7.2,5.3,apple
167.9,7.99,6.6,6.1,apple
110.0,3.07,7.3,7.1,banana
153.8,7.85,6.4,4.3,apple
174.8,7.3,6.2,7.8,apple
106.6,3.59,8.4,8.9,banana
146.2,3.78,7.2,8.9,banana
131.9,3.24,8.2,7.4,banana
171.0,7.92,5.2,5.5,orange
155.0,7.98,5.4,5.2,apple
158.5,7.54,4.6,2.9,orange
111.6,3.59,9.1,9.4,banana
148.9,7.1,5.0,6.7,apple
157.6,8.03,6.6,8.6,apple
158.3,7.51,5.4,10.0,apple
183.7,7.09,5.4,7.9,apple
113.2,3.33,8.0,8.0,banana
177.9,7.92,5.1,2.7,orange
135.3,8.93,5.0,4.6,orange
86.9,3.4,8.1,9.5,banana
