study_hours,attendance_percentage,previous_exam_score,sleep_hours,passed
3.7,43.1,41.8,5.0,0
9.5,71.9,49.5,4.1,1
7.3,72.4,42.4,4.9,0
6.0,78.2,36.2,6.9,1
1.6,83.6,38.4,6.1,0
1.6,98.6,62.3,8.5,0
0.6,71.0,44.4,8.1,0
8.7,59.4,55.5,5.7,1
6.0,87.7,65.2,5.3,1
7.1,56.2,78.3,5.9,1
0.2,66.3,32.8,7.0,0
9.7,44.7,86.0,5.3,1
8.3,41.5,74.0,7.1,0
2.1,97.8,35.7,6.0,0
1.8,90.2,91.2,6.8,1
1.8,81.8,94.5,6.2,0
3.0,64.5,34.3,5.5,0
5.2,50.4,49.4,8.7,0
4.3,49.4,86.4,7.8,0
2.9,55.0,82.4,4.7,0
6.1,73.0,42.9,8.3,1
1.4,82.9,44.7,6.4,0
2.9,79.6,55.9,8.5,0
3.7,56.8,63.9,8.0,0
4.6,97.3,73.3,6.1,0
7.9,84.3,55.8,4.1,1
2.0,73.3,62.4,5.3,0
5.1,76.7,82.3,6.7,1
5.9,65.2,32.6,7.2,0
0.5,54.9,47.7,5.3,0
6.1,61.4,79.9,4.7,1
1.7,85.5,92.7,8.2,1
0.7,40.9,65.8,8.9,0
9.5,47.0,67.2,6.6,1
9.7,42.8,37.5,4.9,1
8.1,42.4,61.3,5.4,1
3.0,91.3,67.3,4.1,0
1.0,82.2,47.0,8.6,0
6.8,68.5,48.8,4.6,0
4.4,45.9,56.4,6.9,1
1.2,69.5,31.4,5.4,0
5.0,68.4,52.5,6.8,0
0.3,50.4,44.8,7.3,0
9.1,66.0,52.9,8.1,1
2.6,63.9,38.4,5.0,0
6.6,77.0,92.3,4.1,1
3.1,78.1,71.6,4.7,0
5.2,42.7,77.5,8.5,0
5.5,62.5,85.2,8.4,1
1.8,77.6,64.9,7.0,0
9.7,70.2,36.1,7.0,0
7.8,91.4,67.6,7.3,1
9.4,79.5,71.1,4.9,1
8.9,49.8,82.2,8.6,1
6.0,44.2,60.2,6.1,0
9.2,78.5,38.9,5.9,1
0.9,41.6,49.9,6.6,0
2.0,75.1,55.4,4.2,0
0.5,96.4,75.2,4.8,1
3.3,74.5,70.0,7.7,1
3.9,63.3,54.9,4.4,0
2.7,78.6,99.1,7.0,1
8.3,67.5,72.4,5.2,1
3.6,72.7,46.6,5.9,0
2.8,96.5,37.1,5.4,0
5.4,63.2,40.7,5.8,0
1.4,97.7,47.2,7.6,0
8.0,94.3,41.2,5.5,1
0.7,51.7,43.1,6.8,0
9.9,44.2,50.0,6.4,1
7.7,46.0,42.1,7.3,0
2.0,41.1,92.8,8.7,0
0.1,45.7,35.6,7.7,0
8.2,81.0,66.7,5.1,1
7.1,44.3,58.7,4.2,0
7.3,59.1,98.8,5.3,1
7.7,90.7,37.8,7.0,1
0.7,41.4,57.8,4.3,0
3.6,88.9,97.9,6.5,1
1.2,56.9,90.6,7.0,0
8.6,47.1,87.2,5.7,1
6.2,81.8,48.1,7.9,1
3.3,77.7,42.0,4.5,0
0.6,92.6,76.8,4.4,0
3.1,84.1,95.1,7.6,1
3.3,88.2,69.0,6.5,0
7.3,56.9,70.0,7.4,1
6.4,50.6,49.6,6.2,0
8.9,85.0,83.9,5.2,1
4.7,88.4,43.1,8.1,0
1.2,99.4,52.7,8.0,0
7.1,64.8,59.8,7.5,1
7.6,62.3,65.5,5.4,1
5.6,86.6,47.0,7.0,0
7.7,60.4,38.0,5.8,0
4.9,95.8,72.7,4.5,1
5.2,91.5,50.2,8.6,1
4.3,65.7,70.7,4.7,0
0.3,85.1,40.8,8.8,0
1.1,85.3,63.7,6.2,0
0.3,46.2,67.3,4.9,0
6.4,94.2,33.6,6.7,0
3.1,70.3,53.6,8.4,0
5.1,89.6,39.4,7.7,0
9.1,59.2,34.4,8.0,1
2.5,93.7,99.3,7.3,1
4.1,63.4,52.6,7.5,0
7.6,40.7,86.7,8.2,1
2.3,94.3,47.8,5.2,0
0.8,45.5,77.7,6.4,0
2.9,59.2,83.2,5.1,0
1.6,97.0,71.7,8.9,1
9.3,97.0,63.0,8.7,1
8.1,74.4,58.8,4.2,1
6.3,77.9,54.4,7.5,1
8.7,66.9,95.1,8.6,1
8.0,57.6,88.1,4.9,1
1.9,59.7,97.6,6.8,1
8.9,80.4,38.7,8.6,1
5.4,85.1,81.2,4.2,0
